País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Kenia	";El oso de Nandi;El murciélago demonio Popobawa;El demonio Shetani;El ogro Il-kimite;El dios del cielo En-kai;El corazón salvaje de Masái Mara;Restos del Niño de Turkana el origen del hombre;El tesoro de la ciudad swahili de Lamu;El marfil de los grandes elefantes;La cicatriz de la Tierra  el Gran Valle del Rift;¿Qué animal con cuello largo vive en Kenia?; ¿Qué montaña famosa está allí?; ¿Qué río cruza sus tierras?; ¿Qué ave grande corre en la sabana?; ¿Qué árbol da sombra en la sabana?;Jirafa; Kilimanjaro; Tana; Avestruz; Acacia;León; Everest; Amazonas; Águila; Pino;Tigre; Andes; Nilo; Pato; Olivo;Su capital es Nairobi; Allí viven leones y jirafas en safaris; Tienen atletas que corren muy rápido; Hay un gran valle llamado Rift; En la costa hay playas con palmeras;No has podido salir del país porque una manada de ñus está cruzando la pista durante su Gran Migración.; No has podido salir del país porque te has unido a una tribu Masái y todavía no has aprendido a saltar lo suficientemente alto.; No has podido salir del país porque una jirafa está comiendo las hojas del árbol que está justo encima del avión.; No has podido salir del país porque te han nombrado guardián honorario de un bebé elefante.; No has podido salir del país porque tu matatu (minibús) ha decidido hacer una parada para bailar.
"Kirguistán	";El cíclope caníbal Jelbegan;La demonia del parto Albarstry;La bruja de hierro Kulpara;El demonio del bosque Shurale;El dragón Az-Buki;El tesoro sumergido del lago Issyk-Kul;La epopeya del héroe Manas;Las tumbas de los guerreros nómadas;Las montañas celestiales del Tian Shan;La legendaria Ruta de la Seda;¿Qué montaña hay en Kirguistán?; ¿Qué animal vive en las montañas?; ¿Qué lago grande hay en el país?; ¿Qué árbol crece allí?; ¿Qué ave vuela en los cielos?;Tian Shan; Leopardo de las nieves; Issyk-Kul; Pino; Águila;Andes; León; Titicaca; Olivo; Cisne;Alpes; Tigre; Victoria; Roble; Cuervo;Su capital es Biskek; Está rodeado de montañas muy altas; Su gente vivía en yurtas; Montan caballos para jugar al kok-boru; Allí está el lago Issyk-Kul;"No has podido salir del país porque te han ""secuestrado"" para casarte en una tradición nupcial y la fiesta está muy bien."; No has podido salir del país porque estás viviendo en una yurta y has olvidado cómo son las puertas.;" No has podido salir del país porque estás participando en los Juegos Nómadas Mundiales y compites en ""lucha de cabras""."; No has podido salir del país porque tu caballo se niega a ir al aeropuerto.;" No has podido salir del país porque estás intentando contar todas las montañas del ""país de las montañas celestiales""."
"Kiribati	";El dios araña Nareau;El espíritu de los muertos Anti;El pulpo gigante Te-Kune-wai;La doncella celestial Nei Tituaabine;El guardián del inframundo Nakaa;El legado de la sangrienta Batalla de Tarawa;Los atolones que desaparecen;La cultura de los navegantes de las estrellas;El santuario de aves de la Isla de Navidad;La línea donde nace el tiempo;¿Qué animal marino vive en sus islas?; ¿Qué mar rodea Kiribati?; ¿Qué árbol da cocos?; ¿Qué pez vive en sus aguas?; ¿Qué clima tiene?;Delfín; Pacífico; Cocotero; Atún; Tropical;León; Atlántico; Pino; Sardina; Polar;Tigre; Índico; Olivo; Tiburón; Desértico;Su capital es Tarawa; Son islas muy pequeñas en el océano; La gente pesca mucho; Sus danzas mueven las manos como olas; Son de los primeros en ver el amanecer;No has podido salir del país porque estás esperando a que la marea alta retroceda para que el país reaparezca.; No has podido salir del país porque has cruzado la línea internacional de cambio de fecha tantas veces que ahora vives en el pasado y el futuro a la vez.; No has podido salir del país porque tu bungalow sobre el agua se ha ido a la deriva.; No has podido salir del país porque estás en medio de un concurso de pesca y acabas de enganchar algo grande.; No has podido salir del país porque el sol sale aquí primero y no quieres perderte el espectáculo.
"Kuwait	";El genio del desierto Jinn;El necrófago Ghul;El asno marino Humar;El demonio tuerto Al-Awar;El íncubo Al-Jathoom;Las Torres que perforan el cielo;El oro negro del desierto;El tesoro del naufragio de la isla Failaka;La tradición de los buscadores de perlas;El laberinto del zoco de Al-Mubarakiya;¿Qué animal vive en el desierto de Kuwait?; ¿Qué mar baña el país?; ¿Qué árbol da dátiles?; ¿Qué ave vuela en su cielo?; ¿Qué mineral se encuentra allí?;Camello; Arábigo; Palmera; Halcón; Petróleo;León; Mediterráneo; Pino; Águila; Oro;Tigre; Adriático; Olivo; Cisne; Plata;Su capital es Kuwait City; Tiene torres que parecen cohetes; Allí hay mucho petróleo; Sus mercados venden especias; El desierto rodea la ciudad;No has podido salir del país porque las Torres de Kuwait han decidido inclinarse un poco más y bloquean el tráfico aéreo.; No has podido salir del país porque te han invitado a una diwaniya (reunión social) y la conversación sobre política y fútbol no ha terminado.; No has podido salir del país porque tu halcón de mascota no ha pasado el control de seguridad.; No has podido salir del país porque estás atrapado en el centro comercial más grande del mundo y no encuentras la salida.; No has podido salir del país porque el aire acondicionado es tan potente que te has congelado en tu silla.
"Laos	";La deidad serpiente N?ga;La deidad pájaro Garuda;El espíritu o fantasma Phi;La cabeza voladora Krasue;El demonio de la naturaleza Yaksha;Los mil Budas de las cuevas de Pak Ou;La ciudad dorada de Luang Prabang;El enigma de la Llanura de las Jarras;El oro del Triángulo de la Droga;El legado del Reino del Millón de Elefantes;¿Qué río cruza Laos?; ¿Qué animal grande vive en sus selvas?; ¿Qué árbol tropical crece allí?; ¿Qué ave vuela en la selva?; ¿Qué fruta se cultiva?;Mekong; Elefante; Teca; Tucán; Plátano;Amazonas; León; Pino; Águila; Manzana;Nilo; Tigre; Olivo; Cisne; Pera;Su capital es Vientián; Allí está la gran estupa dorada Pha That Luang; El río Mekong cruza el país; Tienen cascadas muy altas; Sus templos tienen dragones pintados;No has podido salir del país porque estás atrapado en un atasco de elefantes en Luang Prabang.; No has podido salir del país porque te has unido a la procesión matutina de los monjes para dar ofrendas y ahora no puedes parar.;" No has podido salir del país porque te has relajado tanto que has alcanzado un estado de ""sabai sabai"" permanente."; No has podido salir del país porque estás flotando en un neumático por el río Vang Vieng y has perdido la noción del tiempo.; No has podido salir del país porque estás esperando a que terminen de tejer tu bufanda de seda.
"Lesoto	";El duende maligno Tikoloshe;La serpiente de agua Mamlambo;La serpiente del trueno Inkanyamba;El hombre hiena Grotesque;El murciélago demonio Popobawa;Los diamantes del Reino del Cielo;Las huellas de los gigantes (dinosaurios);El arte rupestre del pueblo San;El Reino de las Montañas;Las mantas mágicas de los basotho;¿Qué animal corre en las montañas de Lesoto?; ¿Qué cordillera cruza el país?; ¿Qué río nace en Lesoto?; ¿Qué ave vuela en sus cielos?; ¿Qué cultivo crece allí?;Antílope; Drakensberg; Orange; Águila; Maíz;León; Andes; Amazonas; Pato; Trigo;Tigre; Alpes; Nilo; Cisne; Arroz;Su capital es Maseru; Es un país lleno de montañas; La gente viste mantas de colores; Montan a caballo en los valles; Tiene cataratas llamadas Maletsunyane;No has podido salir del país porque tu poni basuto se niega a bajar de la montaña.; No has podido salir del país porque te has envuelto en una manta tradicional y ahora eres parte del paisaje.;" No has podido salir del país porque el ""Reino en el Cielo"" ha decidido elevarse un poco más y el aeropuerto ha quedado abajo."; No has podido salir del país porque estás esperando a que se seque la huella de dinosaurio que encontraste.;" No has podido salir del país porque una nevada inesperada ha bloqueado el ""Paso del Techo de África""."
"Letonia	";El espíritu guía del bosque Vadatajs;El hada del destino Lauma;El dragón volador Pukis;El hombre con cabeza de perro Sumpurnis;El diablo Velns;El tesoro de los caballeros de la Orden de Livonia;El corazón gótico de Riga;El legado de la Liga Hanseática;El Castillo de la Rosa Roja Turaida;El Monumento a la Libertad;¿Qué mar baña Letonia?; ¿Qué animal del bosque vive allí?; ¿Qué árbol crece en Letonia?; ¿Qué ave migra por Letonia?; ¿Qué clima tiene?;Báltico; Lobo; Pino; Cigüeña; Frío;Mediterráneo; León; Olivo; Águila; Tropical;Adriático; Tigre; Roble; Pato; Desértico;Su capital es Riga; Sus casas medievales son de colores; Allí celebran fiestas con canciones populares; Sus bosques tienen alces y ciervos; En la costa hay playas en el mar Báltico;No has podido salir del país porque estás atrapado en medio de un coro de 20.000 personas en el Festival de la Canción.; No has podido salir del país porque una cigüeña ha hecho su nido en la turbina del avión.; No has podido salir del país porque estás en una sauna de humo y la puerta ha desaparecido.; No has podido salir del país porque sigues buscando ámbar en la playa y crees que has encontrado uno con un mosquito prehistórico dentro.; No has podido salir del país porque te has enamorado del Bálsamo Negro de Riga.
"Líbano	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El poderoso genio Marid;El ser de medio cuerpo Nasnas;El tesoro de los navegantes fenicios;Las ruinas de los gigantes de Baalbek;El Bosque de los Cedros de Dios;Los sarcófagos de los reyes de Biblos;El oro del Fénix de Beirut;¿Qué árbol famoso crece en Líbano?; ¿Qué animal salvaje vive en sus montañas?; ¿Qué fruta se cultiva allí?; ¿Qué mar baña al Líbano?; ¿Qué flor crece en sus campos?;Cedro; Lobo; Uva; Mediterráneo; Rosa;Pino; León; Manzana; Atlántico; Tulipán;Roble; Tigre; Plátano; Rojo; Lirio;Su capital es Beirut; Allí crecen cedros muy altos; Tienen ruinas romanas en Baalbek; Se come pan de pita con hummus; Está junto al mar y a la montaña;No has podido salir del país porque te han invitado a 15 almuerzos diferentes en un solo día y es de mala educación decir que no.; No has podido salir del país porque estás atrapado en un atasco en Beirut que se mueve al ritmo de la música dabke.; No has podido salir del país porque estás intentando reconstruir las ruinas de Baalbek con tus propias manos.; No has podido salir del país porque un cedro milenario ha caído sobre la carretera.; No has podido salir del país porque sigues debatiendo con un taxista sobre el sentido de la vida.
"Liberia	";El espíritu del bosque Gboyo;El espíritu del agua Gbini;El duende Neegee;El espíritu de la danza Dede;La hechicera Fau;Los diamantes de sangre;El legado de la tierra de la libertad;El corazón verde del Parque Nacional Sapo;Los barcos fantasma de la Costa de la Pimienta;El secreto de la sociedad Poro;¿Qué animal grande vive en sus selvas?; ¿Qué árbol da cacao en Liberia?; ¿Qué río importante pasa por el país?; ¿Qué insecto colorido vuela en Liberia?; ¿Qué fruta tropical crece allí?;Elefante; Cacaotero; Río San Pablo; Mariposa; Piña;León; Manzano; Amazonas; Saltamontes; Pera;Hipopótamo; Pino; Sena; Escarabajo; Manzana;Su capital es Monrovia; Su bandera se parece a la de EE. UU.; Allí juegan mucho al fútbol; Sus selvas tienen elefantes pequeños; Fue fundada por personas que venían de América;No has podido salir del país porque te han elegido presidente en unas elecciones improvisadas en la playa.; No has podido salir del país porque los barcos que bloquean el puerto son en realidad hoteles de lujo.; No has podido salir del país porque estás esperando a que el hipopótamo pigmeo termine de cruzar la calle.; No has podido salir del país porque te has unido a una sociedad secreta Poro y la iniciación dura un mes.; No has podido salir del país porque Ellen Johnson Sirleaf te ha pedido consejo.
"Libia	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El poderoso genio Marid;La mujer demonio Tadeit;La ciudad romana de Leptis Magna;El tesoro de la Cirenaica griega;El arte rupestre de Acacus;Las ruinas de Sabratha;El tesoro perdido de Gadafi;¿Qué desierto cubre gran parte de Libia?; ¿Qué animal se adapta bien al desierto?; ¿Qué mar toca Libia?; ¿Qué planta aguanta la sequía en Libia?; ¿Qué mineral es muy importante en Libia?;Sahara; Camello; Mediterráneo; Cactus; Petróleo;Gobi; León; Rojo; Olivo; Oro;Kalahari; Elefante; Negro; Pino; Plata;Su capital es Trípoli; Gran parte es desierto del Sahara; Tienen ruinas romanas en Leptis Magna; El sol brilla casi todo el año; Hay oasis con palmeras y agua;No has podido salir del país porque te has perdido en las ruinas de Leptis Magna y ahora vives como un emperador romano.; No has podido salir del país porque tu guía tuareg dice que las estrellas no son propicias para viajar hoy.; No has podido salir del país porque una tormenta de arena ha creado un espejismo del aeropuerto a 200 km de distancia.; No has podido salir del país porque estás en medio de una carrera de caballos bereber y vas en cabeza.; No has podido salir del país porque te han invitado a una boda que dura una semana y el banquete es excelente.
"Liechtenstein	";El gusano dragón Tatzelwurm;La dama del mediodía Mittagsfrau;La gente de la noche Nachtvolk;El espíritu de la montaña Berggeist;El perro fantasma Doggi;La colección de arte del Príncipe de Liechtenstein;El Castillo de Vaduz;Los sellos postales más raros del mundo;El secreto de las cámaras acorazadas;El paisaje de los Alpes;¿Qué animal vive en los Alpes de Liechtenstein?; ¿Qué río cruza este país?; ¿Qué árbol crece en las montañas?; ¿Qué fruta se cultiva en los valles?; ¿Qué ave vuela en las montañas?;Cabra montés; Rin; Abeto; Manzana; Águila;León; Danubio; Olivo; Plátano; Pingüino;Elefante; Sena; Cactus; Mango; Pato;Su capital es Vaduz; Es un país muy pequeñito; Tiene castillos en las montañas; Allí hablan alemán; Sus prados tienen muchas flores;No has podido salir del país porque has parpadeado y te has pasado la frontera sin darte cuenta; y ahora tienes que volver a entrar.; No has podido salir del país porque has alquilado el país entero para una fiesta y has perdido las llaves.; No has podido salir del país porque te has hecho amigo del Príncipe y estáis jugando a videojuegos en su castillo.; No has podido salir del país porque te has quedado atascado en el Museo de Sellos Postales.
"Lituania	";El espíritu volador Aitvaras;El hada o diosa Laum?;La diosa de la muerte Giltin?;El espíritu de la parálisis Slogutis;El gnomo Kaukas;El tesoro del Gran Ducado de Lituania;El Castillo de Trakai en el lago;La Colina de las Cruces;El ámbar del Mar Báltico;El corazón barroco de Vilna;¿Qué animal vive en los bosques de Lituania?; ¿Qué mar baña su costa?; ¿Qué árbol crece mucho allí?; ¿Qué fruto del bosque se encuentra?; ¿Qué ave blanca llega cada año?;Ciervo; Báltico; Pino; Fresa; Cigüeña;León; Rojo; Olivo; Plátano; Loro;Tigre; Negro; Cactus; Mango; Pingüino;Su capital es Vilna; Fue el primer país en independizarse de la URSS; Sus bosques tienen lobos; Les gusta cantar en grandes coros; Hay un castillo rojo en un lago (Trakai);No has podido salir del país porque estás atrapado en una nube con olor a pan de centeno.; No has podido salir del país porque has sido retado a un partido de baloncesto y tu oponente mide 2;20 metros.; No has podido salir del país porque la Colina de las Cruces ha añadido una cruz con tu nombre y ahora tienes que quedarte.; No has podido salir del país porque estás buscando la habitación de ámbar en un castillo de Trakai.
"Luxemburgo	";El hombre del gancho Kropemann;La sirena Melusina;El gato fantasma D'Maus Ketti;El carnero fantasma De Ram;El espíritu Gees;El tesoro de la fortaleza de Luxemburgo;Las Casamatas del Bock;El legado de la Casa de Luxemburgo;El sector financiero;El Palacio Gran Ducal;¿Qué animal vive en sus bosques?; ¿Qué río pasa por Luxemburgo?; ¿Qué árbol grande se ve en sus parques?; ¿Qué fruta se cultiva allí?; ¿Qué ave canta en primavera?;Zorro; Mosela; Roble; Manzana; Ruiseñor;León; Rin; Olivo; Mango; Pato;Elefante; Sena; Cactus; Uva; Águila;Su capital es Luxemburgo; Es un país muy pequeño en Europa; Tiene castillos medievales; Allí hablan varios idiomas; Sus bosques parecen de cuento;No has podido salir del país porque has tropezado y has caído accidentalmente en Alemania; y ahora tienes que hacer el papeleo para volver a entrar.; No has podido salir del país porque estás atrapado en una reunión del Banco Central Europeo y no entiendes nada.; No has podido salir del país porque el Gran Duque te ha nombrado catador oficial de vino de Mosela.; No has podido salir del país porque te has perdido en las casamatas subterráneas.
"Macedonia del Norte	";El hada de la montaña Samovila;La devoradora de niños Lamia;El vampiro eslavo Vampir;El elemental Stihija;El espíritu acuático Rusalka;La tumba perdida de Alejandro Magno;La ciudad de Ohrid y su lago;El observatorio megalítico de Kokino;El tesoro de los reyes de Paeonia;El legado del Imperio Bizantino;¿Qué lago grande está en este país?; ¿Qué pez vive en el lago Ohrid?; ¿Qué fruta se cultiva en sus campos?; ¿Qué montaña famosa hay?; ¿Qué animal vive en sus montañas?;Lago Ohrid; Trucha; Uva; Šar; Oso;Lago Titicaca; Delfín; Mango; Pirineos; León;Lago Ness; Tiburón; Pera; Alpes; Elefante;Su capital es Skopie; Allí nació Alejandro Magno; Tienen un lago enorme llamado Ohrid; Sus montañas tienen osos y lobos; Sus iglesias tienen mosaicos dorados;No has podido salir del país porque estás discutiendo con un griego sobre el verdadero origen de Alejandro Magno.; No has podido salir del país porque una estatua gigante de Alejandro Magno ha bloqueado la carretera.; No has podido salir del país porque te has enamorado del lago Ohrid y te niegas a abandonarlo.; No has podido salir del país porque te has perdido en el Antiguo Bazar de Skopje.; No has podido salir del país porque estás participando en el Festival de la Ajvar y tienes que probar todas las variedades.
"Madagascar	";El hombrecillo del bosque Kalanoro;El gigante D'mba;El buey monstruoso Songomby;El muerto viviente Kinoly;El espíritu ancestral Vazimba;El tesoro del pirata William Kidd;El huevo del pájaro elefante;Los lémures y la biodiversidad única;La Avenida de los Baobabs;Las gemas de zafiro de Ilakaka;¿Qué animal lémur vive allí?; ¿Qué árbol gigante crece en Madagascar?; ¿Qué mar rodea la isla?; ¿Qué reptil cambia de color allí?; ¿Qué planta de vainilla crece en sus selvas?;Lémur; Baobab; Índico; Camaleón; Orquídea de vainilla;León; Pino; Atlántico; Rana; Lirio;Tigre; Roble; Rojo; Águila; Cactus;Su capital es Antananarivo; Allí viven lémures que saltan; Sus baobabs son árboles gigantes; Tiene playas con tortugas; Es la isla más grande de África;"No has podido salir del país porque un grupo de lémures te ha elegido como su rey y ahora tienes que ""mover el esqueleto""."; No has podido salir del país porque te has quedado atrapado en un bosque de baobabs.; No has podido salir del país porque un camaleón se ha camuflado en tu pasaporte y no lo encuentran.;" No has podido salir del país porque estás esperando a que termine la ceremonia de ""famadihana"" (danza con los muertos)."; No has podido salir del país porque una polilla cometa gigante ha sido confundida con un avión no identificado.
"Malasia	";El hombre aceitoso Orang Minyak;La mujer vampiro Pontianak;El infante ladrón Toyol;El fantasma alargado Hantu Galah;La cabeza voladora Penanggalan;El tesoro del sultán de Malaca;Las Torres Petronas;El tesoro del naufragio del 'Flor de la Mar';Las cuevas de Batu;El estaño del valle de Kinta;¿Qué selva tropical hay en Malasia?; ¿Qué animal grande vive allí?; ¿Qué fruta espinosa es típica?; ¿Qué mar rodea el país?; ¿Qué flor es símbolo de Malasia?;Selva de Borneo; Tigre; Durian; Mar de China Meridional; Hibisco;Desierto del Sahara; León; Mango; Rojo; Rosa;Sabana; Elefante; Plátano; Negro; Tulipán;Su capital es Kuala Lumpur; Allí están las Torres Petronas muy altas; Sus selvas tienen tigres y orangutanes; Tienen islas con playas tropicales; Se come arroz con leche de coco;No has podido salir del país porque las Torres Petronas han decidido jugar al pilla-pilla y han bloqueado el espacio aéreo.; No has podido salir del país porque te has comido un durián y el olor te ha dejado en un estado de éxtasis paralizante.; No has podido salir del país porque un mono narigudo ha robado tu cartera y ahora la usa como sombrero.; No has podido salir del país porque te has perdido en la selva de Borneo buscando la flor más grande del mundo; la rafflesia.
"Malaui	";El espíritu del terremoto Napolo;La bestia acuática Mbiti;El devorador Chitapo;El espíritu de la sequía Mbewula;El monstruo del río Thunga;El Lago Malaui (el 'Lago de las Estrellas');El arte rupestre de Chongoni;El pez cíclido endémico;El legado del Dr. Livingstone;Las plantaciones de té;¿Qué lago grande está en Malaui?; ¿Qué pez se pesca allí?; ¿Qué animal vive cerca del agua?; ¿Qué árbol da sombra?; ¿Qué fruta tropical se cultiva?;Lago Malaui; Tilapia; Hipopótamo; Baobab; Mango;Lago Victoria; Delfín; León; Pino; Manzana;Lago Ness; Tiburón; Elefante; Cactus; Pera;Su capital es Lilongüe; Allí está el lago Malaui lleno de peces de colores; Sus mercados son muy alegres; La gente sonríe mucho; Sus montañas son verdes;"No has podido salir del país porque te han nombrado ""Ministro del Lago Malaui"" y tienes que contar todos los peces."; No has podido salir del país porque estás participando en una danza Gule Wamkulu y tu máscara es demasiado grande para el avión.; No has podido salir del país porque estás ayudando a secar pescado en la orilla del lago.;" No has podido salir del país porque tu canoa se ha quedado sin ""chambo"" (combustible de pescado).";" No has podido salir del país porque el ""lago de las estrellas"" ha decidido brillar tanto que ha cegado a los pilotos."
"Maldivas	";La diosa demonio Dhevi;La mano maldita Handi;El espíritu del mar Fureytha;El demonio del coco Baburu;El monstruo marino Rannamaari;Los atolones de coral y la vida marina;El tesoro de los naufragios de la Ruta de la Seda;Las conchas de cauri (antigua moneda);La Mezquita del Viernes de Malé;El legado de la cultura budista;¿Qué mar rodea a Maldivas?; ¿Qué animal marino gigante se ve allí?; ¿Qué fruta tropical crece en sus islas?; ¿Qué planta da sombra en la playa?; ¿Qué fenómeno natural se observa en el mar de noche?;Índico; Tiburón ballena; Coco; Palmera; Agua bioluminiscente;Atlántico; Delfín; Manzana; Roble; Aurora boreal;Rojo; León; Pera; Olivo; Lluvia;Su capital es Malé; Son islas pequeñitas en el océano; Sus casas están sobre el agua; Sus playas son de arena blanca; Allí se bucea con peces de colores;No has podido salir del país porque tu bungalow sobre el agua se ha declarado nación independiente.; No has podido salir del país porque el hidroavión ha sido reclamado por un grupo de mantarrayas para una fiesta submarina.; No has podido salir del país porque te has quedado dormido en una hamaca y la marea ha subido; convirtiéndote en una isla.; No has podido salir del país porque estás esperando a que el plancton bioluminiscente escriba un mensaje en la orilla.
"Malí	";El dios creador Amma;El espíritu ancestral Dogon;El fetiche poderoso Basi;El yurugu;El espíritu del agua Nommo;El oro del Imperio de Malí;Los manuscritos de Tombuctú;La Gran Mezquita de Djenné;Los acantilados de Bandiagara (País Dogón);El legado de Mansa Musa;¿Qué desierto cubre gran parte del país?; ¿Qué río importante pasa por Malí?; ¿Qué animal vive en el desierto?; ¿Qué árbol típico da sombra?; ¿Qué mineral se encuentra en Malí?;Sahara; Níger; Camello; Baobab; Oro;Gobi; Amazonas; León; Pino; Plata;Kalahari; Sena; Elefante; Olivo; Petróleo;Su capital es Bamako; Allí está la ciudad antigua de Tombuctú; En el desierto hay camellos; Sus casas son de barro y se reparan cada año; Sus griots cuentan historias con música;No has podido salir del país porque te has quedado atrapado en el Festival del Desierto y la música es demasiado buena.; No has podido salir del país porque estás ayudando a restaurar los manuscritos antiguos de Tombuctú.; No has podido salir del país porque una caravana de sal ha bloqueado la única carretera.; No has podido salir del país porque te has perdido en la Gran Mezquita de Djenné; hecha de barro.
"Malta	";El ogro G?ul;El monstruo del pozo Bellieg?a;El fantasma encapuchado Kaw kaw;El fantasma ?ares;El gigante Sarangu;El tesoro de los Caballeros de Malta;Los templos megalíticos de ?a?ar Qim y Mnajdra;El Hipogeo de Hal Saflieni;El Halcón Maltés (tributo);La ciudad fortificada de La Valeta;¿Qué mar rodea Malta?; ¿Qué pez se pesca allí?; ¿Qué árbol crece en la isla?; ¿Qué ave migratoria pasa por Malta?; ¿Qué flor silvestre aparece en primavera?;Mediterráneo; Atún; Olivo; Halcón; Amapola;Rojo; Delfín; Pino; Loro; Rosa;Negro; Tiburón; Cactus; Pingüino; Tulipán;Su capital es La Valeta; Tiene templos más antiguos que las pirámides; Sus casas son de piedra amarilla; Está rodeada de mar; Allí se ruedan películas de aventuras;No has podido salir del país porque un Caballero de la Orden de Malta te ha retado a un duelo de espadas.; No has podido salir del país porque te has perdido en las catacumbas de Rabat.;" No has podido salir del país porque tu barco ha sido ""atacado"" por los cañones de la Saluting Battery (es una recreación"; pero te lo has creído).; No has podido salir del país porque estás esperando a que la Ventana Azul
"Marruecos	";La demonia seductora Aisha Qandisha;El monstruo mula B'ghel;El genio Jinn;La novia fantasma Mchumba;El necrófago Ghul;El tesoro de la tumba de Moulay Ismail;La Plaza de Yamaa el-Fna en Marrakech;La ciudad azul de Chefchaouen;El tesoro del rey Juba II;Las curtidurías de Fez;¿Qué cordillera cruza Marruecos?; ¿Qué desierto está allí?; ¿Qué animal vive en el desierto?; ¿Qué fruta se cultiva mucho?; ¿Qué mar baña Marruecos?;Atlas; Sahara; Camello; Naranja; Mediterráneo;Pirineos; Gobi; León; Manzana; Rojo;Alpes; Kalahari; Elefante; Pera; Negro;Su capital es Rabat; En Marrakech hay mercados con lámparas; Sus montañas tienen nieve en invierno; En el desierto se montan camellos; Sus azulejos son de muchos colores;No has podido salir del país porque te has perdido en el zoco de Marrakech y ahora eres el dueño de una tienda de lámparas.; No has podido salir del país porque te han invitado a tomar té a la menta y has entrado en un bucle infinito de hospitalidad.; No has podido salir del país porque las cabras que se suben a los árboles de argán han formado un piquete.; No has podido salir del país porque un encantador de serpientes ha hipnotizado a los pilotos.; No has podido salir del país porque estás esperando a que tu tagine se cocine a fuego lento.
"Mauricio	";El espíritu caribeño Jumbee;El hombre lobo Loup Garou;El espíritu del saco Tonton Macoute;El demonio Djab;El espíritu maligno Baka;El tesoro del pirata La Buse;El sello 'Blue Penny' de Mauricio;El legado del Dodo;La tierra de los siete colores de Chamarel;La montaña Le Morne Brabant;¿Qué ave extinta vivía en Mauricio?; ¿Qué océano lo rodea?; ¿Qué fruta tropical crece allí?; ¿Qué arrecifes se encuentran cerca?; ¿Qué árbol crece en las playas?;Dodo; Índico; Mango; Coral; Palmera;León; Atlántico; Manzana; Cuevas; Olivo;Tigre; Rojo; Pera; Montañas; Pino;Su capital es Port Louis; Es una isla en el océano Índico; Antes vivía allí el pájaro dodo; Sus playas tienen agua azul; Se habla francés e inglés;No has podido salir del país porque un dodo (que se creía extinto) ha aparecido y te ha pedido que no reveles su secreto.; No has podido salir del país porque estás intentando recrear la Tierra de los Siete Colores con arena de la playa.; No has podido salir del país porque te has quedado atrapado en un campo de caña de azúcar.;" No has podido salir del país porque tu sello de correos del ""Blue Penny"" vale más que el avión.";" No has podido salir del país porque estás surfeando en la ""ola de un ojo"" y no quieres parar."
"Mauritania	";El necrófago Ghul;El genio Jinn;El genio de fuego Ifrit;La devoradora Ammut;El espíritu Bori;Las antiguas ciudades caravaneras de Uadane y Chingueti;El Ojo del Sáhara (Estructura de Richat);El manuscrito de Chingueti;El Parque Nacional del Banc d'Arguin;Las minas de hierro;¿Qué desierto cubre el país?; ¿Qué animal vive en él?; ¿Qué río lo cruza?; ¿Qué árbol resiste allí?; ¿Qué mineral se extrae en Mauritania?;Sahara; Camello; Senegal; Acacia; Hierro;Gobi; León; Amazonas; Pino; Oro;Kalahari; Elefante; Nilo; Cactus; Plata;Su capital es Nuakchot; Gran parte es desierto del Sahara; Sus casas son de colores cerca del mar; Allí viven nómadas con camellos; Sus tiendas son llamadas jaimas;No has podido salir del país porque el tren de mineral de hierro; uno de los más largos del mundo; ha bloqueado el país entero.; No has podido salir del país porque te has unido a una caravana del desierto y el GPS se ha quedado sin batería.; No has podido salir del país porque estás intentando descifrar los misterios del Ojo del Sahara.
